product_id,product_name,sale_price,regular_price,discount,discount_percentage
26574,"Mantrit (Energized) Parad Goli, Original &#038; Genuine (Set of 7)- 10 mm &#8211; 35 Gram apprx",96000,148000,52000,35.13513513513514
26528,"Mantrit Vastu Brass Brahmasthan Plate with 9 Pyramid (Navgrah) – Brahmasthan Activation, Vastu Dosha Removal, Prosperity &#038; Protection",955100,1355100,400000,29.518116744151722
26518,"Mantrit Brass Manjusha Box for Vastu – Treasure Box for Brahmasthan Activation, Vastu Dosha Correction &#038; Prosperity",285100,495100,210000,42.41567360129267
26511,"Mantrit Brass Nabhi Set for Vastu Correction &#8211; Energy Balancing Rods for Home, Office &#038; Pooja Use",275100,490000,214900,43.857142857142854
26480,Natural Amethyst Crystal Cave (28.7 Kg) – 15 Inch Apx. Premium Vastu &#038; Healing Stone &#8211; Mantrit,9510000,15500000,5990000,38.645161290322584
26450,Mantrit 4 Mukhi Rudraksha Nepali 28mm Rare Bead &#8211; Certified &#038; Natural,360000,460000,100000,21.73913043478261
26408,Mantrit Rose Quartz Ducks &#8211; 89 Gram | Love &#038; Relationship Healing Crystal | Certified (Copy),220000,340000,120000,35.294117647058826
26402,Mantrit Rose Quartz Ducks &#8211; 107 Gram | Love &#038; Relationship Healing Crystal | Certified,265000,540000,275000,50.92592592592593
26393,Natural Raw Moonstone Chunks – Rough Healing Crystals for Emotional Balance | Mantrit &#038; Certified,195000,285000,90000,31.57894736842105
26391,Product,0,0,0,
26389,Product,0,0,0,
26374,Original Tiger Eye Shivling Mantrit (Energized) &#038; Certified 120 Gram Approx.,300000,420000,120000,28.57142857142857
26364,Genuine Labradorite Hanuman ji Idol Mantrit (Energized) &#038; Certified 512 Gram,1175000,1750000,575000,32.857142857142854
26351,Mantrit 5 Mukhi Rudraksha Kanthi Mala 54+1 Beads &#038; 20mm Approx | Nepali Certified,260000,460000,200000,43.47826086956522
26330,Mantrit 5 Mukhi Rudraksha (Nepali) Big Rare Bead 28mm &#038; Certified &#8211; 8 Gram,360000,450000,90000,20.0
26277,Karungali Mala (Ebony Wood Mala) – Natural Blackwood 108 Beads &#038; 7mm Apprx. | Mantrit &#038; Certified,75000,110000,35000,31.818181818181817
26126,Original Big Green Aventurine Raw Stone &#8211; Certifed &#038; Mantrit,245000,320000,75000,23.4375
26117,"Certified Moonstone Bracelet – Embrace Serenity, Healing &#038; Inner Strength &#8211; Abhimantrit",145000,185000,40000,21.62162162162162
26098,"Mantrit Pyrite Frame with Gayatri Mantra – Elevate Your Home Entrance for Wellness, Health &#038; Wealth",185000,230000,45000,19.565217391304348
